seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp
0,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,86.109026213,0.253662109375,1768009454.133406
1,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,57.556897099,1.0,1768009520.6805327
2,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,77.036933618,0.9896240234375,1768009606.8169432
3,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,81.908353139,0.6597900390625,1768009697.6094265
4,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,76.649920796,0.39404296875,1768009783.0116775
0,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,84.542514193,0.0,1768009876.1454587
1,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,60.27702604,1.0,1768009945.1005101
2,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,78.136906129,0.914794921875,1768010032.5827553
3,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,90.028919179,0.1385498046875,1768010131.550758
4,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,97.529905291,0.0506591796875,1768010237.7893388
0,8192,blackboard-1d,EOgar-1d,13,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': False}",sub,64,0,88.764208789,0.0,1768010335.4876232
