seed,size,task,model,digits,bb_spec,operation,batch_size,_step,_runtime,accuracy,_timestamp,TrainPos,EvalPos,run_name
9,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,55.637798349,0.986328125,1768157208.7706883,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d11_s9
9,8192,blackboard-1d,EOgar-1d,11,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,54.019511269,0.9947509765625,1768157270.9651592,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d11_s9
0,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,56.602915804,0.228271484375,1768157335.8500974,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s0
0,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,83.593980999,0.228759765625,1768157427.9400692,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s0
1,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,84.853623485,0.202880859375,1768157521.603252,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s1
1,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,84.449517773,0.000244140625,1768157614.8863184,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s1
2,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,70.88603505,0.9669189453125,1768157694.4950244,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s2
2,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,87.283062276,0.01171875,1768157790.337411,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s2
3,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,61.29537998,0.951171875,1768157860.4205482,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s3
3,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,69.455615485,0.8970947265625,1768157938.4669302,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s3
4,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,83.657278861,0.0679931640625,1768158030.6981256,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s4
4,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,83.278738832,0.2288818359375,1768158122.8203154,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s4
5,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,85.167966565,0.02685546875,1768158216.5334332,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s5
5,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,86.072244743,0.5029296875,1768158311.5791726,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s5
6,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,86.594751346,0.1998291015625,1768158407.019035,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s6
6,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,84.592454845,0.2454833984375,1768158500.3140998,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s6
7,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,85.493927662,0.8519287109375,1768158594.9039605,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s7
7,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,83.849932084,0.0263671875,1768158687.3013027,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s7
8,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,83.366943262,0.000244140625,1768158779.3113518,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s8
8,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,84.824057625,0.0,1768158872.9716477,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s8
9,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,82.522714355,0.678955078125,1768158964.6771438,True,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosTrue_EvalPosTrue_BDimH6W20_d12_s9
9,8192,blackboard-1d,EOgar-1d,12,"{'width': 20, 'height': 6, 'operation': 'add', 'randomize_position': True}",add,64,0,85.748391983,0.25048828125,1768159059.134384,False,True,Location_Generalization_Eval_EOgar-1d_Opadd_TrainPosFalse_EvalPosTrue_BDimH6W20_d12_s9
0,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,52.986806676,0.998779296875,1768159120.6075609,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s0
0,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,72.500841347,0.9998779296875,1768159201.7423615,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s0
1,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,52.382977466,1.0,1768159262.5634174,True,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosTrue_EvalPosTrue_BDimH6W20_d10_s1
1,8192,blackboard-1d,EOgar-1d,10,"{'width': 20, 'height': 6, 'operation': 'sub', 'randomize_position': True}",sub,64,0,74.352810207,0.9986572265625,1768159345.9948173,False,True,Location_Generalization_Eval_EOgar-1d_Opsub_TrainPosFalse_EvalPosTrue_BDimH6W20_d10_s1
